timestamp,cycles,unroll,load_interleave,schedule,hash_interleave,block_group,speedup
2026-01-22T23:45:05,5439,6,2,stagewise,"(3, 2, 3)",2,27.16
2026-01-22T23:45:05,5439,6,2,stagewise,"(3, 3, 0)",2,27.16
2026-01-22T23:45:05,5439,6,2,stagewise,"(3, 3, 1)",2,27.16
2026-01-22T23:45:05,5439,6,2,stagewise,"(3, 3, 2)",2,27.16
2026-01-22T23:45:05,5439,6,2,stagewise,"(3, 3, 3)",2,27.16
2026-01-22T23:45:05,4079,6,2,stagewise,"(0, 0, 0)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 0, 1)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 0, 2)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 0, 3)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 1, 0)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 1, 1)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 1, 2)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 1, 3)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 2, 0)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 2, 1)",3,36.22
2026-01-22T23:45:06,4079,6,2,stagewise,"(0, 2, 2)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(0, 2, 3)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(0, 3, 0)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(0, 3, 1)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(0, 3, 2)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(0, 3, 3)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(1, 0, 0)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(1, 0, 1)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(1, 0, 2)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(1, 0, 3)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(1, 1, 0)",3,36.22
2026-01-22T23:45:07,4079,6,2,stagewise,"(1, 1, 1)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 1, 2)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 1, 3)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 2, 0)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 2, 1)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 2, 2)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 2, 3)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 3, 0)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 3, 1)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 3, 2)",3,36.22
2026-01-22T23:45:08,4079,6,2,stagewise,"(1, 3, 3)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 0, 0)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 0, 1)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 0, 2)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 0, 3)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 1, 0)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 1, 1)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 1, 2)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 1, 3)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 2, 0)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 2, 1)",3,36.22
2026-01-22T23:45:09,4079,6,2,stagewise,"(2, 2, 2)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(2, 2, 3)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(2, 3, 0)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(2, 3, 1)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(2, 3, 2)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(2, 3, 3)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(3, 0, 0)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(3, 0, 1)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(3, 0, 2)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(3, 0, 3)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(3, 1, 0)",3,36.22
2026-01-22T23:45:10,4079,6,2,stagewise,"(3, 1, 1)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 1, 2)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 1, 3)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 2, 0)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 2, 1)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 2, 2)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 2, 3)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 3, 0)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 3, 1)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 3, 2)",3,36.22
2026-01-22T23:45:11,4079,6,2,stagewise,"(3, 3, 3)",3,36.22
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 0, 0)",6,51.89
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 0, 1)",6,51.89
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 0, 2)",6,51.89
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 0, 3)",6,51.89
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 1, 0)",6,51.89
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 1, 1)",6,51.89
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 1, 2)",6,51.89
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 1, 3)",6,51.89
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 2, 0)",6,51.89
2026-01-22T23:45:12,2847,6,2,stagewise,"(0, 2, 1)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(0, 2, 2)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(0, 2, 3)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(0, 3, 0)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(0, 3, 1)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(0, 3, 2)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(0, 3, 3)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(1, 0, 0)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(1, 0, 1)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(1, 0, 2)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(1, 0, 3)",6,51.89
2026-01-22T23:45:13,2847,6,2,stagewise,"(1, 1, 0)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 1, 1)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 1, 2)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 1, 3)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 2, 0)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 2, 1)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 2, 2)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 2, 3)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 3, 0)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 3, 1)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 3, 2)",6,51.89
2026-01-22T23:45:14,2847,6,2,stagewise,"(1, 3, 3)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 0, 0)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 0, 1)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 0, 2)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 0, 3)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 1, 0)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 1, 1)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 1, 2)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 1, 3)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 2, 0)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 2, 1)",6,51.89
2026-01-22T23:45:15,2847,6,2,stagewise,"(2, 2, 2)",6,51.89
